area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Anekal,2 BHK,620,2,1,22
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,982,2,1,47.65
Super built-up  Area,Ready To Move,Banashankari Stage II,2 BHK,1700,2,2,150
Super built-up  Area,18-Dec,Whitefield,2 BHK,1330,2,1,71
Built-up  Area,Ready To Move,JP Nagar,3 Bedroom,2500,3,2,135
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1475,2,2,58.99
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1410,3,1,65
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,440,1,1,16.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1614,3,2,95
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,1363,2,2,68
Built-up  Area,Ready To Move,Kogilu,2 Bedroom,650,2,0,28
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2 BHK,1015,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1156,2,2,46
Super built-up  Area,19-Mar,Hennur Busstop,2 BHK,1100,2,1,62.7
Super built-up  Area,18-Jan,KR Puram,3 BHK,1455,3,2,46
Super built-up  Area,Ready To Move,GB Palya,2 BHK,930,2,1,45
Built-up  Area,Ready To Move,AMS Layout,3 BHK,1650,2,2,80
Built-up  Area,Ready To Move,KR Puram,2 Bedroom,1200,2,0,90
Plot  Area,Ready To Move,9th Block Jayanagar,1 Bedroom,700,1,0,150
Super built-up  Area,Ready To Move,Karuna Nagar,4 BHK,2900,3,,135
Super built-up  Area,18-Mar,Kadugodi,3 BHK,1890,4,3,127
Super built-up  Area,Ready To Move,Ashwathnagar,3 BHK,2197,4,3,280
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3522,3,2,380
Super built-up  Area,18-Apr,Gaurava Nagar,3 BHK,1240,2,2,46
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,1440,2,2,98
Super built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,650,1,2,38
Super built-up  Area,19-Jun,Budigere,1 BHK,764,1,1,32
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,900,4,0,90
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3,3,57.39
Built-up  Area,Ready To Move,Hoodi,3 BHK,1445,3,2,65
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900,1,0,45
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1030,2,,55
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1381,2,2,52.48
Built-up  Area,Ready To Move,Basapura,2 BHK,1100,2,1,60
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1575,3,2,66.39
Plot  Area,Ready To Move,Thigalarapalya,2 Bedroom,1200,2,1,65
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2,2,43.2
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,1080,2,2,80
Plot  Area,Ready To Move,Hebbal Kempapura,5 Bedroom,2280,5,,200
Super built-up  Area,18-Mar,Akshaya Nagar,3 BHK,1360,2,2,85
Super built-up  Area,19-Dec,Jakkur,3 BHK,1865,3,1,124
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,1157,2,1,75
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674,2,1,29
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1405,2,1,78
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1160,2,2,44.08
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4 Bedroom,1600,3,1,172
Super built-up  Area,21-Mar,Hebbal,3 BHK,1790,3,2,127
Super built-up  Area,18-May,Electronic City,2 BHK,1128,2,1,65.65
Super built-up  Area,Ready To Move,Panathur,2 BHK,1180,2,1,70
Built-up  Area,Ready To Move,AGS Layout,3 BHK,1450,2,2,85
Built-up  Area,18-Mar,Kengeri,1 BHK,340,1,1,10
Built-up  Area,Ready To Move,Srinagar,4 Bedroom,2000,3,1,166
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2,2,53.5
Super built-up  Area,Ready To Move,Varthur,2 BHK,1125,2,2,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1246,2,1,68
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1372,2,1,61
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330,2,1,56
Super built-up  Area,19-Dec,Binny Pete,3 BHK,2465,5,2,234
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1300,2,3,55
Plot  Area,Ready To Move,Brigade Road,2 Bedroom,1420,1,0,220
Plot  Area,Ready To Move,Bannerghatta,4 Bedroom,810,4,1,50
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1065,2,1,35
Built-up  Area,Ready To Move,Hessarghatta,2 BHK,700,2,0,27
Carpet  Area,18-Mar,Hebbal,2 BHK,547.34 - 827.31,2,0,42.72
Super built-up  Area,Ready To Move,Belathur,2 BHK,1050,2,1,45
Super built-up  Area,18-Apr,Maruthi HBCS Layout,3 BHK,1250,3,3,39.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,865,2,0,42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1200,2,2,44
Built-up  Area,Ready To Move,Srirampura,3 BHK,1756,3,3,100
Plot  Area,Ready To Move,Malleshwaram,9 Bedroom,750,8,,150
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,628,1,1,24
Plot  Area,Ready To Move,9th Phase JP Nagar,7 Bedroom,1200,6,2,195
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207,2,2,63
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1765,3,1,125
Built-up  Area,18-Dec,Electronic City,2 BHK,1130,2,1,32.64
Super built-up  Area,18-Jun,Devanahalli Road,3 BHK,1532,3,3,92
Built-up  Area,Ready To Move,Ejipura,3 BHK,1650,3,0,110
Built-up  Area,18-May,Horamavu Banaswadi,4 Bedroom,1200,4,2,105
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,804.1,2,1,69.09
Super built-up  Area,18-Apr,Doddathoguru,2 BHK,1200,2,2,75
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1197,2,2,50
Built-up  Area,Ready To Move,Green Woods Layout,2 BHK,1200,2,2,66
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1385,2,2,48.48
Super built-up  Area,Ready To Move,Craig Park Layout,2 BHK,1010,2,3,148
Super built-up  Area,Ready To Move,Whitefield,3 BHK,2225,3,3,115
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,1180,2,2,48
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,1525,2,3,122
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,1100,2,2,31.5
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,1435,3,3,70
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1,1,14
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,1200,2,2,50
Super built-up  Area,21-Mar,Whitefield,2 BHK,1272,2,1,95.05
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2,1,39
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,980,2,1,40
Super built-up  Area,18-May,Malleshpalya,2 BHK,1225,2,2,46.86
Built-up  Area,Ready To Move,Whitefield,3 BHK,1541,3,1,72
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,1610,2,2,111
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,1694,2,2,125
Plot  Area,Ready To Move,Jnanabharathi Layout,3 Bedroom,600,3,2,75
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950,2,1,39
Super built-up  Area,Ready To Move,Muneshwara Nagar,3 BHK,1560,2,3,66
Super built-up  Area,Ready To Move,Chandapura,2 BHK,1201,2,2,27
Plot  Area,Ready To Move,Chandapura,2 Bedroom,1500,2,1,60
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,1785,3,2,75
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1258,2,1,63.53
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2,2,42
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1297,2,2,112
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1291,2,3,49
Built-up  Area,Ready To Move,Chikkasandra,2 BHK,1070,2,2,42
Super built-up  Area,Ready To Move,Varthur,2 BHK,1012,2,1,66.5
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,1260,2,3,57.6
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1282,2,2,72
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3,2,92.15
Plot  Area,Ready To Move,Bharath Housing Society Layout,4 Bedroom,2400,3,,200
Built-up  Area,Ready To Move,Chikka Tirupathi,5 Bedroom,3356,5,2,105
Super built-up  Area,19-Mar,Hebbal,4 BHK,2790,5,3,198
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1330,2,1,86.98
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,1400,2,1,73
Built-up  Area,18-Dec,Whitefield,2 BHK,1192,2,1,71
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,1000,2,1,130
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1297,2,2,103
Super built-up  Area,19-Jul,Sarjapur  Road,1 BHK,580 - 650,1,0,17.835
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1490,3,2,100
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,1373,3,2,72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2,1,41.39
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,3750,4,0,210
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2,1,40.39
Built-up  Area,Ready To Move,Sarjapur,2 BHK,1195,2,1,42
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1750,3,2,95
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,1052,2,2,50
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1180,2,2,58
Built-up  Area,Ready To Move,Padmanabhanagar,5 Bedroom,3680,4,2,440
Built-up  Area,Ready To Move,Hormavu,3 BHK,2100,3,2,73
Built-up  Area,18-Mar,Hoodi,4 Bedroom,2863,4,1,140
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1128,2,2,38.24
Built-up  Area,Ready To Move,Ulsoor,3 BHK,2700,3,1,450
Super built-up  Area,18-Jul,JP Nagar,2 BHK,1120,2,2,33.6
Built-up  Area,Ready To Move,HSR Layout,3 BHK,2424,3,2,90
Built-up  Area,Ready To Move,Manjunatha Layout,2 BHK,1300,2,1,60
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1090,2,2,32.69
Built-up  Area,Ready To Move,Yelahanka,3 Bedroom,2710,3,1,251
Plot  Area,Ready To Move,Konanakunte Cross,2 Bedroom,3040,1,1,180
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1330,2,2,46.55
Super built-up  Area,18-Jul,Hosur Road,3 BHK,1427,2,1,80.63
Super built-up  Area,18-Aug,Banjara Layout,3 BHK,1294,2,2,48
Built-up  Area,Ready To Move,Begur,3 BHK,1580,3,2,75
Plot  Area,Ready To Move,Uttarahalli,5 Bedroom,400,5,1,200
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,1808,4,2,80.27
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3516,4,3,540
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2,2,47
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900,2,1,46
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3 BHK,1310,2,3,50
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900,2,1,46
Built-up  Area,Ready To Move,Singasandra,4 Bedroom,3850,6,3,195
Plot  Area,Ready To Move,Kogilu,7 Bedroom,925,7,3,88
Super built-up  Area,16-Dec,Yelachenahalli,2 BHK,2400,1,1,150
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1290,2,3,100
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,3770,6,3,110
Super built-up  Area,Ready To Move,Lakshmi Layout,3 BHK,1390,3,1,120
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,1200,4,2,72
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2,1,33
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1537,3,3,120
Super built-up  Area,Ready To Move,Immadihalli,2 BHK,1135,2,2,68
Super built-up  Area,19-Dec,Hoodi,3 BHK,1512,3,2,75.77
Super built-up  Area,Ready To Move,Srinivasa Nagar,2 BHK,900,2,1,55
Super built-up  Area,Ready To Move,Jigani,3 BHK,1230,3,3,54
Super built-up  Area,18-Apr,Thirumenahalli,3 BHK,1378,2,3,42.33
Super built-up  Area,17-Oct,Whitefield,2 BHK,1277,2,1,61.3
Super built-up  Area,19-Jun,Hebbal,3 BHK,1985,4,2,189
Plot  Area,Ready To Move,Kengeri,5 Bedroom,8000,5,,500
Super built-up  Area,Ready To Move,KPC Layout,2 BHK,1210,2,2,62
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,890,2,,40
Plot  Area,Ready To Move,JP Nagar,9 Bedroom,2550,9,0,360
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,1200,5,2,110
Built-up  Area,Ready To Move,Ardendale,4 BHK,3198,4,3,200
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,1464,3,2,56
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2483,5,2,215
Plot  Area,Ready To Move,Begur,4 Bedroom,1550,4,2,130
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,4111,4,1,310
Super built-up  Area,Ready To Move,Electronic City,2 BHK,975,2,2,37.5
Super built-up  Area,Ready To Move,Nandi Durga Road,3 BHK,2500,3,1,250
Super built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,1690,3,1,125
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,31.89
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,2572,3,3,390
Carpet  Area,Ready To Move,Kumara Park,3 BHK,2200,4,,350
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,1600,3,0,80
Super built-up  Area,18-May,Maruthi Nagar,3 BHK,1250,3,1,39.5
Super built-up  Area,Ready To Move,Bommanahalli,1 BHK,520,1,0,19.5
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,4000,5,,212
Built-up  Area,Ready To Move,Munnekollal,3 BHK,1390,3,2,68
Super built-up  Area,18-May,Whitefield,2 BHK,1185,2,2,40
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1219,2,2,48
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,1564,2,1,92
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3425 - 3435,6,0,228.5
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,1100,2,2,37.1
Built-up  Area,Ready To Move,Kothannur,3 BHK,1300,2,0,60
Plot  Area,Ready To Move,Chikkabanavar,3 Bedroom,1600,2,0,80
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,1600,3,2,75
Super built-up  Area,19-Mar,Hennur Road,3 BHK,1482,2,1,92
Plot  Area,18-May,Marsur,3 Bedroom,1000,4,3,66
Super built-up  Area,Ready To Move,Shampura,2 BHK,1200,2,3,53
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,600,3,2,75
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1200,2,0,58
Plot  Area,Ready To Move,Kereguddadahalli,6 Bedroom,600,4,0,60
Built-up  Area,Ready To Move,Nagarbhavi,3 Bedroom,2400,3,0,160
Super built-up  Area,19-Dec,Marathahalli,3 BHK,1469,3,1,89
Super built-up  Area,22-Mar,Kanakapura,1 BHK,551,1,1,30
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,1160,2,1,52
Super built-up  Area,Ready To Move,Balagere,2 BHK,1205,2,1,78.5
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1550,2,3,52
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3,2,125
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1028,2,1,42
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1700,3,1,180
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,1200,2,1,34
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,2700,4,1,270
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,1100,2,2,50
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,1200,3,1,72
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1269.72,2,2,68
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1266,2,2,59
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1060,2,1,62
Plot  Area,Ready To Move,Malimakanapura,3 Bedroom,1168,3,0,70
Super built-up  Area,Ready To Move,Medahalli,2 BHK,1552,2,1,51
Super built-up  Area,18-May,Talaghattapura,3 BHK,1804 - 2273,3,0,120
Super built-up  Area,Ready To Move,Attibele,1 BHK,500,1,1,17
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1080,2,2,43.2
Plot  Area,Ready To Move,Kattigenahalli,4 Bedroom,2100,4,,155
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,1300,2,2,65
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,920,2,2,33
Plot  Area,Ready To Move,New Thippasandra,4 Bedroom,817,2,1,120
Built-up  Area,Ready To Move,Harlur,2 BHK,1310,2,1,50
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,1650,2,1,75
Super built-up  Area,Ready To Move,Garden Layout,3 BHK,1515,3,3,93.93
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,2 BHK,1157,2,1,53.8
Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4 BHK,2400,5,1,85
Super built-up  Area,Ready To Move,Konanakunte,4 BHK,3000,4,3,160
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,2200,2,1,162
Built-up  Area,19-Dec,"Hoodi Circle, ",2 BHK,1243,2,1,58
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1530,2,2,74.39
Super built-up  Area,Ready To Move,Judicial Layout,3 BHK,2070,3,3,162
Built-up  Area,Ready To Move,Yelahanka,3 BHK,1815,3,2,82
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3900,4,3,300
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1000,2,1,28.88
Super built-up  Area,18-May,Ananth Nagar,2 BHK,982,2,2,24.55
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1232,2,2,89
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1282,3,2,178
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,654,1,1,38.4
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1181,2,0,55
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,45
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1200,4,2,245
Super built-up  Area,Ready To Move,T K Reddy Layout,3 BHK,1616,3,1,75
Built-up  Area,Ready To Move,Herohalli,5 Bedroom,1800,6,0,44.5
Plot  Area,Ready To Move,Kumbena Agrahara,6 Bedroom,1200,4,1,135
Super built-up  Area,20-Dec,Whitefield,3 BHK,1306,3,2,54.65
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1626,3,3,89
Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6 BHK,2700,4,2,214
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3,2,88
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1370,2,1,56.17
Plot  Area,Ready To Move,Whitefield,5 Bedroom,3250,5,3,900
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1495,2,2,90
Super built-up  Area,Ready To Move,frazertown,3 BHK,2000,3,2,210
Plot  Area,Ready To Move,Akshayanagara East,5 Bedroom,2400,4,1,300
Plot  Area,Ready To Move,Bannerghatta,3 Bedroom,1375,3,0,57
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,3630 - 3800,6,0,224.5
Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,1400,2,2,48
Super built-up  Area,Ready To Move,Kadugodi,5 BHK,1100,5,0,135
Super built-up  Area,21-Dec,Whitefield,1 BHK,660 - 670,,,28.585
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,1200,4,2,215
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1150,2,2,46
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1080,2,1,54
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,1645,3,2,100
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,1760,3,3,176
Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,595,1,1,42
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,1200,3,1,125
Super built-up  Area,18-Dec,JP Nagar,4 BHK,4000 - 5249,4,0,314.5
Built-up  Area,Ready To Move,Mahaganapathy Nagar,2 BHK,1410,2,3,67
Built-up  Area,18-Dec,Huskur,2 BHK,1090,2,1,31.48
Plot  Area,Ready To Move,Ramagondanahalli,1 Bedroom,540,1,0,30
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1300,2,2,60
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,1890,2,2,85
Super built-up  Area,Ready To Move,Belathur,2 BHK,1254,2,1,53
Built-up  Area,Ready To Move,Kattigenahalli,7 Bedroom,2800,7,2,125
Built-up  Area,Ready To Move,Ulsoor,2 BHK,1275,2,,120
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1245,2,2,68.48
Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,1170,2,2,86
Super built-up  Area,18-Apr,Panathur,2 BHK,1193,2,1,86
Super built-up  Area,18-Dec,Chandapura,2 BHK,850,2,1,25.4
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1678,3,3,70
Built-up  Area,Ready To Move,Gunjur,3 BHK,1600,3,3,75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1750,3,2,84
Super built-up  Area,18-Nov,Whitefield,2 BHK,1125,2,2,62
Plot  Area,Ready To Move,Andrahalli,4 Bedroom,2200,4,3,235
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,1500Sq. Meter,3,1,95
Built-up  Area,Ready To Move,HBR Layout,3 BHK,2800,2,0,200
Plot  Area,Ready To Move,R.T. Nagar,2 Bedroom,1200,2,1,120
Built-up  Area,Ready To Move,Vittal Nagar,2 BHK,1000,2,1,50
Built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,2780,5,2,480
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,1320,2,1,38.13
Super built-up  Area,Ready To Move,2Electronic City Phase II,27 BHK,8000,27,0,230
Super built-up  Area,Ready To Move,Ardendale,4 BHK,2422,4,2,160
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1100,2,1,50
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,882,2,1,30
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2,1,37
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2,1,39
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,620 - 933,,,48.145
Super built-up  Area,Ready To Move,Brookefield,3 BHK,1595,3,3,88
Built-up  Area,Ready To Move,Whitefield,2 BHK,1280,2,0,85
Built-up  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,1700,2,1,550
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,920,2,0,35
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,1300,2,3,57
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,1450,1,0,230
Super built-up  Area,Ready To Move,Harlur,3 BHK,1757,3,2,132
Super built-up  Area,Ready To Move,Anekal,1 BHK,600,1,1,16.5
Built-up  Area,Ready To Move,Jnanabharathi Layout,4 Bedroom,2400,3,2,142
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1240,2,1,44
Plot  Area,Ready To Move,Kadarenahalli,10 Bedroom,750,10,,90
Super built-up  Area,18-Feb,EPIP Zone,2 BHK,1330,2,1,93.36
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,1062,2,1,42.47
Built-up  Area,Ready To Move,JP Nagar,2 BHK,1078,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1460,2,2,72
Plot  Area,18-Dec,Whitefield,3 Bedroom,1200,3,2,68.5
Super built-up  Area,Ready To Move,Laggere,1 BHK,1200,1,1,48
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,912,2,1,39
Super built-up  Area,19-Mar,Hosa Road,3 BHK,142.61Sq. Meter,3,1,115
Plot  Area,Ready To Move,Victoria Layout,5 Bedroom,2400,5,1,625
Plot  Area,Ready To Move,Prithvi Layout,4 Bedroom,2028,4,3,162
Super built-up  Area,19-Apr,Mysore Road,2 BHK,980,2,1,45.47
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1000,2,2,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1050,2,1,62
Built-up  Area,18-Dec,Bannerghatta,3 Bedroom,2611,3,1,239
Super built-up  Area,Ready To Move,Domlur,3 BHK,1875,2,2,150
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1065,2,1,42.6
Built-up  Area,Ready To Move,Sanjay nagar,3 BHK,1800,3,2,180
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,1163,2,2,98.86
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,1098,2,1,72
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725,2,2,100
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4000,4,2,330
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,1128,2,2,75
Plot  Area,Ready To Move,Subramanyanagar,8 Bedroom,1320,6,2,200
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1705,3,1,74.16
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1418,2,2,95
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,1500,3,1,160
Built-up  Area,Ready To Move,Hebbal,2 BHK,1100,2,2,50
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3,2,56
Super built-up  Area,18-May,Hebbal,2 BHK,812,2,2,55
Super built-up  Area,19-Dec,Binny Pete,4 BHK,2695 - 2940,,,204
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,1280,2,2,40
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1420,2,2,136
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11 Bedroom,1200,11,0,170
Plot  Area,Ready To Move,Kadugondanahalli,6 Bedroom,727,6,2,66
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,1200,2,1,150
Super built-up  Area,18-May,Old Airport Road,4 BHK,2774,4,,207
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3,2,85
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,1722,3,,95
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,2800,3,1,330
Plot  Area,Immediate Possession,IVC Road,,2000 - 5634,,,124
